2026-02-27 00:00:13,655 | INFO | [DAY] New day 2026-02-27 (reset today_pnl/peak)
2026-02-27 00:36:05 | INFO | [BOT] Telegram bot started
2026-02-27 00:36:05 | INFO | [LOOP] Trading loop started
2026-02-27 00:36:05 | INFO | [NIGHT] Night scheduler active
2026-02-27 00:36:05 | INFO | [CYCLE] tick() entered
2026-02-27 00:36:05 | INFO | [NIGHT] Auto scheduler triggering night research
2026-02-27 00:36:05 | INFO | [TICK] Tick running
2026-02-27 00:36:05 | INFO | [NIGHT] Night research started
2026-02-27 00:36:05 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:36:11 | INFO | [NIGHT] Universe live updated: 8 | scored=8 | errors=0
2026-02-27 00:36:13 | INFO | [BOT] Telegram bot started
2026-02-27 00:36:13 | INFO | [LOOP] Trading loop started
2026-02-27 00:36:13 | INFO | [CYCLE] tick() entered
2026-02-27 00:36:13 | INFO | [TICK] Tick running
2026-02-27 00:36:13 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:36:13 | INFO | [NIGHT] Night scheduler active
2026-02-27 00:36:13 | INFO | [NIGHT] Auto scheduler triggering night research
2026-02-27 00:36:13 | INFO | [NIGHT] Night research started
2026-02-27 00:36:20 | INFO | [NIGHT] Universe live updated: 8 | scored=8 | errors=0
2026-02-27 00:36:33 | INFO | [CYCLE] tick() entered
2026-02-27 00:36:33 | INFO | [TICK] Tick running
2026-02-27 00:36:33 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:36:53 | INFO | [CYCLE] tick() entered
2026-02-27 00:36:53 | INFO | [TICK] Tick running
2026-02-27 00:36:53 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:37:13 | INFO | [CYCLE] tick() entered
2026-02-27 00:37:13 | INFO | [TICK] Tick running
2026-02-27 00:37:13 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:37:33 | INFO | [CYCLE] tick() entered
2026-02-27 00:37:33 | INFO | [TICK] Tick running
2026-02-27 00:37:33 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:37:53 | INFO | [CYCLE] tick() entered
2026-02-27 00:37:53 | INFO | [TICK] Tick running
2026-02-27 00:37:53 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:38:13 | INFO | [CYCLE] tick() entered
2026-02-27 00:38:14 | INFO | [TICK] Tick running
2026-02-27 00:38:14 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 00:38:34 | INFO | [CYCLE] tick() entered
2026-02-27 00:38:34 | INFO | [TICK] Tick running
2026-02-27 00:38:34 | INFO | [TICK] Paused=True (use /startloop)
